Num_Credit_Card,Interest_Rate,Delay_from_due_date,Changed_Credit_Limit,Outstanding_Debt,Credit_Mix,Payment_of_Min_Amount,Credit_Score
4,11,7,13.63,1000.07,Standard,Yes,1
4,11,4,13.63,1000.07,Standard,Yes,1
4,11,7,13.63,1000.07,Standard,Yes,1
6,11,25,6.65,1000.11,Good,No,0
6,11,25,11.65,1000.11,Good,No,0
6,11,25,11.65,1000.11,Good,No,0
6,11,25,11.65,1000.11,Good,No,0
4,7,22,7.32,1000.37,Good,No,0
4,7,22,7.32,1000.37,Good,No,0
4,7,22,7.32,1000.37,Good,No,0
4,7,22,7.32,1000.37,Good,No,0
5,4,6,1.36,1000.44,Good,No,2
5,4,6,1.36,1000.44,Good,No,2
5,4,6,1.36,1000.44,Good,No,2
5,4,6,1.36,1000.44,Good,No,2
7,9,5,10.17,1000.76,Standard,Yes,1
7,9,8,10.17,1000.76,Standard,Yes,1
7,9,8,10.17,1000.76,Standard,Yes,1
7,9,8,10.17,1000.76,Standard,Yes,1
7,14,8,1.34,1000.98,Standard,No,1
7,14,8,5.34,1000.98,Standard,No,1
7,14,8,5.34,1000.98,Standard,No,1
7,17,8,17.5,1001.02,Standard,Yes,1
7,17,8,15.5,1001.02,Standard,Yes,1
7,17,8,12.5,1001.02,Standard,Yes,1
7,17,11,17.5,1001.02,Standard,Yes,1
7,12,25,16.03,1001.48,Standard,Yes,1
7,12,28,16.03,1001.48,Standard,No,1
7,12,28,16.03,1001.48,Standard,Yes,1
7,12,28,16.03,1001.48,Standard,Yes,1
6,6,21,9.79,1001.56,Standard,Yes,1
6,6,19,5.789999999999999,1001.56,Standard,Yes,1
6,6,21,9.79,1001.56,Standard,Yes,1
6,6,21,9.79,1001.56,Standard,Yes,1
3,20,24,12.38,1001.61,Standard,Yes,1
3,20,24,12.38,1001.61,Standard,Yes,1
3,20,23,12.38,1001.61,Standard,Yes,1
3,20,24,12.38,1001.61,Standard,Yes,1
4,20,22,2.65,1001.62,Standard,No,1
4,20,22,2.65,1001.62,Standard,No,1
4,20,22,2.65,1001.62,Standard,No,1
5,11,21,19.43,1001.74,Standard,Yes,1
5,11,21,12.43,1001.74,Standard,Yes,1
6,11,13,5.85,1002.18,Good,No,1
6,11,13,5.85,1002.18,Good,No,1
6,11,13,10.85,1002.18,Good,No,2
3,9,11,3.72,1002.97,Good,No,2
3,9,7,3.72,1002.97,Good,No,2
3,9,11,3.72,1002.97,Good,No,2
3,9,11,3.72,1002.97,Good,No,2
3,5,14,9.05,1003.89,Standard,Yes,1
3,5,23,13.05,1003.89,Standard,Yes,1
3,5,19,9.05,1003.89,Standard,Yes,1
3,5,17,5.050000000000002,1003.89,Standard,Yes,1
4,18,7,13.49,1004.26,Standard,No,1
4,18,12,8.49,1004.26,Standard,No,1
4,18,12,8.49,1004.26,Standard,No,1
4,18,8,8.49,1004.26,Standard,No,1
7,19,25,7.63,1004.26,Standard,No,1
7,19,20,7.63,1004.26,Standard,No,1
7,19,20,7.63,1004.26,Standard,No,1
7,19,20,7.63,1004.26,Standard,No,1
6,6,-4,5.38,1004.44,Good,No,0
6,6,2,5.38,1004.44,Good,No,1
6,6,0,5.38,1004.44,Good,No,0
6,6,0,5.38,1004.44,Good,No,0
7,9,13,13.28,1004.53,Standard,No,1
7,9,9,7.28,1004.53,Standard,Yes,1
7,9,13,7.28,1004.53,Standard,Yes,1
7,9,13,7.28,1004.53,Standard,Yes,1
6,18,13,3.66,1004.66,Standard,No,1
6,18,13,3.66,1004.66,Standard,No,1
6,18,13,3.66,1004.66,Standard,No,1
6,18,13,3.66,1004.66,Standard,No,1
6,10,9,16.54,1004.8,Standard,Yes,1
6,10,9,16.54,1004.8,Standard,Yes,1
6,10,9,16.54,1004.8,Standard,No,1
6,10,9,20.54,1004.8,Standard,Yes,1
6,6,13,5.34,1004.82,Good,No,1
6,6,13,7.34,1004.82,Good,No,1
6,6,14,1.34,1004.82,Good,No,1
6,6,13,6.34,1004.82,Good,No,0
7,7,15,5.77,1005.15,Good,No,2
7,7,13,0.7699999999999996,1005.15,Good,No,1
7,7,13,5.77,1005.15,Good,No,1
7,7,15,7.77,1005.15,Good,No,2
6,20,29,11.3,1005.25,Standard,Yes,1
6,20,29,12.3,1005.25,Standard,Yes,1
6,20,29,9.3,1005.25,Standard,Yes,1
6,20,29,11.3,1005.25,Standard,No,1
2,6,3,8.81,1005.29,Good,No,2
2,6,3,8.81,1005.29,Good,No,2
2,6,-1,8.81,1005.29,Good,No,2
2,6,3,8.81,1005.29,Good,No,2
7,13,20,10.34,1005.37,Standard,Yes,1
7,13,17,10.34,1005.37,Standard,Yes,1
7,13,17,10.34,1005.37,Standard,Yes,1
7,13,17,10.34,1005.37,Standard,Yes,1
6,9,8,10.16,1005.41,Standard,Yes,1
6,9,7,10.16,1005.41,Standard,Yes,1
6,9,8,10.16,1005.41,Standard,Yes,1
7,15,9,13.77,1005.5,Standard,Yes,1
7,15,9,13.77,1005.5,Standard,Yes,1
7,15,9,13.77,1005.5,Standard,Yes,1
7,15,9,13.77,1005.5,Standard,No,1
7,20,17,19.98,1005.81,Standard,Yes,1
7,20,21,19.98,1005.81,Standard,Yes,1
7,20,17,19.98,1005.81,Standard,Yes,1
7,20,22,19.98,1005.81,Standard,Yes,1
